Category,Posts,Avg_Likes,Avg_Comments,Avg_Shares,Avg_Views,Avg_Engagement,Avg_Engagement_Rate
Business,382,6642.77,326.13,780.5,107718.95,7749.4,11.96
Education,413,8054.63,362.25,886.59,123764.61,9303.47,11.89
Entertainment,432,8163.24,351.75,864.35,121652.71,9379.34,11.57
Fashion,428,6651.74,295.58,793.51,102640.57,7740.83,7.61
Fitness,393,7415.51,328.7,811.8,104368.37,8556.01,10.38
Food,413,8172.51,352.51,913.29,109709.08,9438.3,12.95
Gaming,476,7239.8,336.24,806.28,105738.98,8382.32,9.91
Health,397,7599.65,357.58,856.83,127130.53,8814.06,9.32
Lifestyle,433,7421.37,317.22,807.45,103738.81,8546.04,19.13
Sports,401,7268.85,333.21,853.33,99995.35,8455.38,9.54
Technology,434,7747.42,351.15,789.06,108032.26,8887.63,13.96
Travel,398,8048.34,368.58,865.3,118246.73,9282.22,15.21
