Content_Type,Posts,Avg_Likes,Avg_Comments,Avg_Shares,Avg_Views,Avg_Engagement,Avg_Engagement_Rate
Article,116,1092.41,81.77,254.79,14344.42,1428.97,1.45
Carousel,333,5039.28,240.31,146.58,25160.35,5426.18,8.38
Community Post,135,9907.99,483.79,1016.99,461787.51,11408.76,10.19
Document,132,975.64,75.76,272.89,15160.31,1324.29,1.18
Duet,248,26245.49,1058.09,2520.33,239033.77,29823.91,41.63
Live,358,6182.15,316.35,674.88,186881.94,7173.37,7.41
Photo,320,4809.24,243.38,151.32,24922.18,5203.94,6.28
Poll,384,1977.29,125.76,786.55,40860.56,2889.59,3.28
Post,378,3222.08,147.75,400.47,30905.13,3770.3,7.71
Reel,306,4917.71,248.93,154.44,24536.45,5321.08,11.67
Retweet,251,2403.61,152.96,981.33,47195.19,3537.9,3.75
Short,121,9411.83,447.41,1015.05,526712.03,10874.3,10.74
Stitch,259,25421.17,1013.61,2434.69,261649.34,28869.47,45.38
Story,568,4599.8,223.06,297.8,31922.28,5120.65,5.92
Thread,236,2406.59,143.09,982.75,49460.06,3532.43,4.83
Tweet,239,2479.74,148.64,1046.78,49471.7,3675.16,6.3
Video,616,13913.02,567.81,1392.47,205265.77,15873.31,20.41
