Hour_of_Day,Posts,Avg_Engagement,Avg_Views
0,196,8887.85,96966.92
1,207,9233.73,109144.31
2,208,8390.58,114714.89
3,218,8134.0,98247.22
4,233,8142.79,116976.61
5,192,8472.33,104849.26
6,200,8637.89,115668.15
7,200,8840.12,109032.76
8,208,7617.17,111826.76
9,216,7317.94,92753.9
10,205,8633.14,98005.7
11,190,7745.81,101075.18
12,205,8301.0,92507.0
13,225,8540.92,124021.76
14,197,9197.93,123027.69
15,226,9390.26,106477.17
16,200,9593.17,121634.04
17,212,9009.98,125060.9
18,176,9676.48,108351.76
19,205,9622.18,126853.83
20,231,9189.96,116727.13
21,222,9327.82,118198.05
22,230,8974.24,120655.0
23,198,8293.95,106108.99
